"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT2G21660"	2646.264	3406.161	4125.751	1303.997	1806.87	1772.998	15570.181	16030.095	16798.262	6285.804	5281.54	5074.639	987.995	1109.839	1021.77
"AT2G21820"	10.98	4.552	9.277	10.615	19.777	8.304	16.46	21.395	29.333	60.383	64.993	10.706	1427.985	1465.313	1700.08
"AT2G21870"	2797.93	2774.547	2449.137	2376.916	2428.937	2493.112	2525.466	2220.608	2267.006	2348.991	2293.57	2564.849	1982.926	2017.518	2046.411
"AT2G21960"	544.9	668.031	662.043	693.233	853.993	805.531	706.613	640.954	757.415	788.383	821.82	695.889	684.759	461.302	705.098
"AT2G21970"	506.468	663.479	581.923	816.529	1091.313	888.575	987.612	790.718	744.843	1598.028	1989.984	1244.954	2685.523	2085.357	3116.973
"AT2G22080"	302.646	496.186	497.586	478.486	400.927	568.854	799.496	673.938	687.225	914.252	862.868	753.243	841.332	1004.011	818.947
"AT2G22125"	345.881	276.544	337.347	320.079	314.629	286.503	253.957	278.133	289.138	246.636	221.489	282.944	131.799	112.612	93.758
"AT2G22170"	343.136	373.278	360.961	276.803	327.214	322.094	403.275	291.505	266.09	285.757	324.965	242.414	71.35	48.844	33.485
"AT2G22190"	61.078	95.596	86.023	117.58	170.799	154.819	210.456	183.639	223.139	336.785	336.938	231.708	132.79	77.336	74.624
"AT2G22240"	295.097	287.925	289.275	557.689	693.982	574.786	507.915	417.2	434.754	676.972	873.985	691.301	1345.734	1117.979	1114.571
"AT2G22425"	401.469	400.591	342.407	326.612	411.715	274.047	300.987	341.426	363.517	340.187	368.579	376.239	319.092	354.117	272.663
"AT2G22430"	1328.622	1408.896	1386.495	970.036	1168.622	1466.92	1792.987	1719.611	1774.634	1780.028	1681.267	1596.722	1782.751	1279.435	1491.517
"AT2G22450"	81.666	75.111	82.65	73.488	73.713	75.926	243.376	158.679	218.948	193.907	147.945	136.884	29.729	66.482	50.706
"AT2G22470"	179.117	104.7	64.939	90.635	79.107	71.774	71.719	65.076	79.618	115.664	129.986	75.707	1283.303	3465.193	2209.052
"AT2G22500"	916.859	579.264	484.936	501.349	309.235	341.075	429.141	420.765	348.851	241.533	376.275	391.533	420.17	516.93	310.932
"AT2G22540"	522.253	623.647	765.777	1058.222	1172.218	1080.171	1048.75	967.226	1064.361	1114.112	958.647	1036.952	576.743	393.464	302.322
"AT2G22670"	1621.66	1741.205	1891.672	2484.698	2398.373	2573.784	2165.693	2258.94	2326.719	2174.645	2275.612	2133.551	1210.963	790.997	1133.706
"AT2G22720"	188.038	198.019	189.758	195.967	165.405	199.9	210.456	213.949	202.187	204.112	207.807	175.119	271.525	302.56	297.538
"AT2G22780"	456.371	394.901	361.804	333.96	418.906	409.29	383.288	502.779	406.469	404.822	370.289	481.005	618.364	675.672	706.055
"AT2G22880"	61.078	38.693	16.024	9.798	10.787	2.373	9.406	3.566	3.143	0	0	0	5.946	4.07	7.654
"AT2G22970"	220.293	213.952	177.107	289.868	197.767	293.028	423.262	398.479	449.42	556.206	609.737	479.475	657.012	534.568	818.947
"AT2G22990"	2795.184	3648.564	4206.714	4218.189	4358.062	5042.575	3544.823	3658.52	3782.883	2314.972	2045.57	2233.728	6684.077	6048.485	9632.193
"AT2G23090"	2747.145	2881.523	2705.521	2773.749	3203.823	2729.788	3135.67	2815.206	2964.707	3261.542	3299.252	2910.5	5912.114	6867.975	7163.872
"AT2G23120"	1391.759	1259.813	996.86	1174.985	1005.015	1318.033	2139.827	1849.763	1781.967	2876.281	2746.811	2128.198	6176.702	7502.943	7616.397
"AT2G23130"	124.901	84.215	84.337	263.739	188.777	293.028	81.125	79.339	109.998	74.841	57.296	45.118	49.548	37.99	22.961
"AT2G23320"	1791.169	1193.806	1058.425	542.992	364.97	350.566	299.811	295.962	254.567	159.888	175.31	230.943	525.213	1297.073	792.159
"AT2G23350"	925.78	952.541	890.595	710.38	695.78	723.673	666.638	697.116	694.559	540.897	598.62	698.948	375.577	252.359	224.828
"AT2G23420"	242.94	186.639	130.722	234.344	210.352	162.53	138.736	140.849	159.235	177.748	219.779	200.355	180.356	295.776	154.988
"AT2G23600"	1401.367	1395.24	1219.508	1194.582	1301.665	1189.908	793.617	667.698	716.558	863.224	732.027	848.067	219.004	162.813	229.611
"AT2G23790"	130.392	99.01	139.999	80.836	98.883	82.451	91.707	203.251	92.189	110.561	108.607	113.178	421.161	518.287	534.803
"AT2G23810"	2136.364	1592.121	1563.602	1366.053	940.291	1041.021	614.906	712.27	543.704	371.654	324.11	591.888	2656.785	3499.112	3371.459
