GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g41740	0	0.408115709	0	0
LOC_Os12g41730	0	0.214641383	0	0
LOC_Os12g41720	9.138263862	10.46178815	1.895807744	3.639612839
LOC_Os12g41715	13.28904067	16.1881716	3.643363855	6.508141812
LOC_Os12g41710	5.935543703	5.260268964	0.880159644	2.893781672
LOC_Os12g41710	6.060141703	4.521869903	2.777870937	1.393746702
LOC_Os12g41710	0.897949297	1.160319309	0	0
LOC_Os12g41710	6.276101145	14.58167411	6.19343347	10.24043939
LOC_Os12g41700	16.95005677	12.98481908	14.2532557	10.36940572
LOC_Os12g41690	4.666335266	7.349319334	0.543477614	0.370674515
LOC_Os12g41680	14.85763201	19.97835618	32.29115525	39.50958035
LOC_Os12g41670	3.070273631	3.340943793	1.466923054	2.316954349
LOC_Os12g41660	2.808197374	2.318165288	0.857134439	2.338406468
LOC_Os12g41650	0.068514515	0.447327838	0	1.171954204
LOC_Os12g41650	1.096694398	0	8.494014383	7.310559879
LOC_Os12g41650	1.432798676	2.051462894	3.254059612	3.793854805
LOC_Os12g41650	6.636120185	5.169686492	23.94654125	19.95567627
LOC_Os12g41640	0.197551573	0	0	0.397548042
LOC_Os12g41634	0	0	0.759034136	0
LOC_Os12g41630	0.308217904	0.167694938	6.991028155	5.892377942
LOC_Os12g41620	5.433988788	7.154778528	1.683472771	3.171216281
LOC_Os12g41610	0	0	0	0
LOC_Os12g41600	0	0.362042619	0	0
LOC_Os12g41600	5.335604991	11.83105961	0	0.709063241
LOC_Os12g41590	15.21116812	20.2153419	0.689766451	2.634517947
LOC_Os12g41570	0.3724741	0.40531079	0	0.187389484
LOC_Os12g41560	7.663239424	8.338817731	0.687481874	1.041981014
LOC_Os12g41550	2.192860524	0	0	0
LOC_Os12g41540	0.124300416	0	0	0
LOC_Os12g41530	0	0.081641975	0	0
LOC_Os12g41520	0	0	0	0
LOC_Os12g41510	0.082488556	0.089760609	0	0
LOC_Os12g41500	24.96545468	25.66959766	26.32923742	21.86749664
LOC_Os12g41490	0.174634742	0.126686831	1.223748914	0.644289728
LOC_Os12g41480	0	0	0	0
LOC_Os12g41470	0	0	0	0
LOC_Os12g41460	0	0	0	0
LOC_Os12g41450	0	0	0	0
LOC_Os12g41430	10.59696681	6.406209775	1.845593564	3.159271342
LOC_Os12g41430	9.127575834	7.759568419	1.972490026	3.085269221
LOC_Os12g41430	7.630082923	8.069951156	1.341293217	2.15251341
LOC_Os12g41420	0	0	0	0
LOC_Os12g41410	0	0	0	0
LOC_Os12g41400	17.21578473	14.11312957	11.18980666	12.27321037
LOC_Os12g41390	1.221218912	0.620143776	2.071855322	2.785225164
LOC_Os12g41390	0	0	2.505687618	0.471443859
LOC_Os12g41390	33.69107171	28.42170335	105.9954828	103.6675689
LOC_Os12g41380	4.851515812	4.249126113	5.171541534	5.357784471
LOC_Os12g41370	0	0	0	0
LOC_Os12g41360	0	0	0	0
LOC_Os12g41350	0	0	0	0
LOC_Os12g41350	1.468035617	1.597455169	0.730934453	1.624831793
LOC_Os12g41340	0	0	0	0
LOC_Os12g41320	0	0.406708414	0	0
LOC_Os12g41310	0	0	0	0
LOC_Os12g41300	0	0	0	0
LOC_Os12g41290	1.151723338	1.671009775	1.115027419	1.400277319
LOC_Os12g41280	0	0	0	0
LOC_Os12g41270	0	0	0	0
LOC_Os12g41260	0	0	0	0
LOC_Os12g41250	21.03620993	16.48908289	177.6556016	96.02601491
LOC_Os12g41240	0	0	0	0
LOC_Os12g41230	0	0.779620472	0	0
LOC_Os12g41230	0	0	0	0
LOC_Os12g41230	2.74940394	3.221924214	0.877517514	0.532003314
LOC_Os12g41220	77.06625811	77.54822506	65.46495336	61.53423657
LOC_Os12g41210	9.907004068	8.983657412	15.10256953	10.18982652
LOC_Os12g41200	3.875296167	6.180547073	1.702026328	2.024051911
LOC_Os12g41190	13.4699736	11.82883046	6.013800985	9.511105766
LOC_Os12g41180	1.285764686	2.728275302	2.631858577	2.199325683
LOC_Os12g41170	0.052244519	0.056850308	0.173416861	0.367974658
LOC_Os12g41160	0	0.126279914	0	0
LOC_Os12g41150	0	0	0	0
LOC_Os12g41140	0	0	0	0
LOC_Os12g41140	3.536478473	7.392687852	0.82377145	0.46820555
LOC_Os12g41140	1.751649745	3.812144485	0	0.64090507
LOC_Os12g41130	0	0	0	0
LOC_Os12g41124	9.539116672	7.899297917	2.05779476	4.104866902
LOC_Os12g41120	0	0	0	0
LOC_Os12g41110	0.174822521	1.141407484	1.35401896	5.804842616
LOC_Os12g41090	2.227191021	5.07788587	0.117345786	0
LOC_Os12g41080	0	0	0	0.037633085
LOC_Os12g41070	0	0	0	0
LOC_Os12g41060	2.126286057	4.544838299	0	0
LOC_Os12g41050	0	0	0	0
LOC_Os12g41040	0.046320497	0	0	0
LOC_Os12g41030	0	0	0	0
LOC_Os12g41020	0	0	0	0
LOC_Os12g41010	0	0	0	0
LOC_Os12g41000	0	0	0	0
LOC_Os12g40980	0	0	0	0
LOC_Os12g40970	0	0	0	0
LOC_Os12g40960	0	0	0	0
LOC_Os12g40950	0	0	0	0
LOC_Os12g40940	0.220603724	0.720155332	0	0
LOC_Os12g40930	0	0	0	0
LOC_Os12g40920	2.16779926	1.981483392	0	0
LOC_Os12g40920	1.116654839	1.053084285	0	0
LOC_Os12g40920	2.993773766	5.888918922	0.509606488	0.579288312
