ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G75630	739.801	1027.652	925.173	892.466	963.664	909.929	927.65	1023.387	928.173	1057.131	1164.744	1014.01	1117.812	1253.656	1344.183
AT1G75640	31.568	18.209	19.397	13.881	26.968	20.761	15.284	17.829	34.571	17.009	20.524	13	2.973	0	0
AT1G75660	143.431	118.356	144.216	115.947	124.054	147.107	134.033	129.261	182.282	164.991	141.103	159.825	224.95	268.641	269.793
AT1G75670	68.627	37.555	91.927	46.542	75.511	61.69	71.719	57.053	63.904	78.243	69.269	74.942	51.53	69.195	77.494
AT1G75680	646.468	728.347	678.067	738.959	906.132	828.071	743.061	533.088	644.274	620.841	751.696	644.654	219.004	158.742	136.81
AT1G75690	2652.44	3324.222	3585.153	3162.417	3793.528	3378.721	2831.156	2510.33	2601.19	1985.841	1778.757	1888.078	490.529	401.604	442.958
AT1G75700	2.745	0	0	1.633	8.989	1.186	10.582	0	4.19	3.402	6.841	3.059	2.973	0	4.784
AT1G75710	70	87.629	54.819	75.937	109.671	101.433	102.288	82.014	122.569	124.168	119.724	104.001	70.359	40.703	77.494
AT1G75717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75720	8.922	2.276	10.12	3.266	10.787	16.016	1.176	1.783	11.524	8.505	4.276	0	3.964	0	0
AT1G75730	93.333	77.387	48.915	62.873	28.766	66.436	95.234	73.099	57.618	62.084	61.572	46.648	73.332	69.195	44.966
AT1G75750	707.546	616.819	1013.727	402.549	373.959	511.316	340.961	349.449	344.66	157.336	156.496	178.943	95.133	104.471	190.386
AT1G75760	163.333	119.494	135.782	135.544	115.064	86.01	143.439	118.563	124.664	127.57	102.621	150.649	135.763	127.536	100.455
