gene_id	control_1	control_2	control_3	control_4	control_5	control_6	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6
#N/A	3.13	1.99	2.28	1.81	3.16	2.37	6.09	8.52	1.14	1.56	2.42	4.02
#N/A	9.52	8.46	30.18	39.5	10.68	9.66	7.63	8.68	21.99	22.9	2.55	7.41
#N/A	49.37	52.69	11.35	12.21	42.65	51.05	69.45	62.98	10.39	10.45	27.53	22.64
#N/A	60.45	75.52	35.14	46.66	71.53	67.99	104.8	88.33	55.84	37.48	67.87	77.82
#N/A	11.67	9.05	3.28	3.32	9.61	6.2	8.28	5.41	5.37	3.67	7.28	11.35
#N/A	58.84	70.07	22.24	13.56	42.4	33.97	36.97	34.6	29.06	33.21	8.14	14.15
#N/A	2.23	2.07	1.08	1.15	7.87	5.06	0.77	0.96	0.36	0.74	2.1	1.71
#N/A	10.08	9.72	5.54	5.34	6.9	4.37	24.44	24.56	8.11	8.51	16.69	17.57
#N/A	5.27	4.46	1.71	2.71	10.63	11.51	7.75	6.37	0.85	2.62	9.04	4.5
#N/A	10.97	13.38	1.42	6.77	22.15	8.86	15.93	7.58	3.55	6.55	11.3	12.76
#N/A	33.75	32.48	164.78	163.14	548.69	485.01	54.13	47.54	256.55	259.4	133.6	122.54
#N/A	1.67	2.13	135.23	138.54	12.14	9.71	0.93	2.05	360.73	359.84	31.19	32.09
#N/A	149.28	122.38	126.53	132.24	86.86	81.11	181.18	179.85	83.88	85.56	216.69	226.57
#N/A	8.51	7.48	8.82	4.12	2.62	2.7	4.23	4.11	3.4	4.46	1.88	2.49
#N/A	0.38	1.17	0.75	0.59	0.39	0.39	0.8	1.59	0.37	1.15	2.77	1.97
#N/A	0.84	2.57	42.11	42.88	0.85	5.1	3.93	2.62	19.22	22.2	3.9	4.75
#N/A	1.05	2.35	0.68	0.87	45.37	36.63	2.15	3.5	5.64	6.07	7.96	7.24
#N/A	5.72	8.53	2.6	2.36	4.24	4.24	7.52	5.93	5.56	1.52	3.54	3.13
#N/A	79.86	76.3	32.88	33.68	96.62	107.72	70.97	73.69	48.66	51.13	55.96	59.01
#N/A	0.57	0.38	3.12	2.63	0.38	0.57	0.98	0.59	1.29	0.94	0.58	0.58
#N/A	2.65	5.14	4.45	4.09	7.3	4.38	5.75	5.24	3.04	4.08	0.74	2.23
#N/A	11.07	7.31	22.05	12.82	8.38	3.35	12.63	12.05	18.28	16.53	30.21	27.84
#N/A	13.97	15.12	5.72	4.84	15.66	10.69	17.78	14.25	10.81	12.29	10.79	11.29
#N/A	8.73	7.76	4.24	6.73	9.91	6.24	9.8	6.78	5.3	5.07	4.49	7.09
#N/A	7.99	10.16	6.1	5.04	7.61	7.04	9.75	10.77	12.46	16.49	16.64	13.63
#N/A	7.82	6.01	2.22	2.65	5.78	6.55	7.32	8.5	3.15	2.66	7.86	7.64
#N/A	10.56	12.79	6.52	5.9	11.62	8.1	11.16	11.09	13.74	13.44	13.18	11.28
#N/A	0.72	1.46	1.4	1.66	3.99	4.71	1.86	2.61	1.4	2.86	6.29	4.06
#N/A	0.29	0.53	0.28	0.54	3.4	2.28	0.42	0.96	1.01	1.27	0.48	0.48
#N/A	20.03	14.25	7.14	7.22	14.16	8.09	11.08	13.15	7.14	5.98	4.81	8.91
#N/A	1.19	1.51	0.39	0.15	1.4	1.8	1.75	1.13	0.39	0.99	0.92	0.61
#N/A	2.11	1.17	0.56	0.59	0.19	0.19	2.58	0.79	1.12	1.33	0.59	0.59
#N/A	4.06	4.13	0.53	1.25	4.65	2.46	6.17	7.29	1.84	1.89	6.13	4.45
#N/A	4.19	3.57	12.04	10.6	2.87	4.56	4.86	5.03	5.53	6.16	2.93	4.98
#N/A	0.45	1.81	2.16	4.12	3.15	0.9	1.38	0.92	2.6	2.22	5.5	8.23
#N/A	4.8	5.85	1.24	0.49	3.88	5.81	3.65	2.99	3.42	1.91	2.64	3.61
#N/A	7.37	8.63	0.87	2.41	5.64	6.09	9.03	11.58	2.82	1.56	3.45	2.52
#N/A	18.65	18.16	3.48	2.1	5.21	3.64	29.07	22.86	4.65	5.06	19.26	23.69
#N/A	4.69	3.71	20.19	16.91	7.21	6.41	0.72	2.26	10.07	8.84	3.77	5.8
#N/A	0.74	1.12	6.43	5.11	2.43	2.97	4.42	6.48	5.72	8.06	5.3	2.64
#N/A	0.68	0.69	0.92	0.21	1.64	1.23	0.7	0.69	0.26	0.13	1.12	0.42
#N/A	0.66	0.51	1.61	2.56	3.01	3.34	1.55	0.86	1.93	1.65	0.86	0.85
#N/A	17.85	14.18	3.87	4.06	53.01	51.28	26.77	24.32	14.83	18.67	64.59	55.92
#N/A	8.41	14.49	3.55	4.52	9.23	14.39	9.1	4.93	8.17	10.92	7.16	9.76
#N/A	0.29	2.48	0.84	1.32	0.87	1.88	0.3	2.46	2.8	1.15	0.59	2.66
#N/A	184.03	178.31	50.85	48.96	241.29	253.96	162.42	163.34	71.58	72.43	134.6	124.82
#N/A	2.74	3.25	2.22	2.12	2.77	2.3	2.37	2.6	0.89	2.05	1.88	2.58
#N/A	12.56	11.97	8.44	5.51	32.94	21.53	9.01	10.16	11.11	4.83	13.34	11.78
#N/A	2.18	2.7	2.11	1.49	7.57	7.08	6.4	5.89	2.11	1.32	7.6	8.57
#N/A	28.11	27.24	7.04	9.84	22.53	17.25	30.95	31.24	12.11	13.12	15.37	10.86
#N/A	48.11	42.31	17.62	25.77	47.46	48.84	40.31	35.21	32.41	29.84	27.87	30.67
#N/A	10.38	8.86	1.61	1.28	54.06	32.67	15.93	14.2	3.23	0.83	10.26	13.21
#N/A	92.49	94.59	347.85	343.11	76.37	75.06	67.02	65.35	196.94	183.6	73.54	78.91
#N/A	9.43	10.36	6.19	9.84	7.98	8.23	12.95	17.18	6.69	5.84	10.24	10.09
#N/A	2.55	1.73	7.34	10.02	10.51	6.3	1.54	0.51	5.71	5.61	2.25	1.53
#N/A	5.16	3.93	2.5	0.66	6.07	4.34	9.8	9.35	1.25	0.43	6.2	2.21
#N/A	15.79	17.73	2.17	2.06	13.99	9.83	19.3	13.43	7.39	7.1	8.52	10.16
#N/A	25.19	27.53	5.18	6.82	16.93	16.81	30.11	31.7	9.87	6.47	16.02	17.21
#N/A	8.26	8.4	1.83	1.14	5.51	7.98	17.72	14.88	2.21	3.63	2.44	3.05
#N/A	2.85	3.27	0.91	1.41	2.58	3.32	2.82	3.16	2.01	2.26	2.17	1.14
#N/A	22.91	22.32	14.5	16.95	24.2	20.4	21.53	22.73	21.16	28.17	16.01	17.91
#N/A	17.17	13.92	4.09	2.58	9.04	8.59	21.77	22.83	2.66	4.55	18.14	19.94
