"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g48930"	1870	1975	1440	2230	2170	1697
"LOC_Os01g48960"	1276	1190	1206	1919	1323	1433
"LOC_Os01g48990"	9199	9706.5	8437	6193	7289	7042.5
"LOC_Os01g49026"	1469	1224	1107	1284	1383	1141
"LOC_Os01g49190"	2510	2775	2802	3220	3644	3048
"LOC_Os01g49290"	1627	2129	1729	3419	3412	3620
"LOC_Os01g49680"	981	915	890	1075	1202	829
"LOC_Os01g49690"	983	826	825	889	1013	835
"LOC_Os01g49770"	555.5	626	377.5	321	307	286
"LOC_Os01g49830"	555	603	397	317	394	335
"LOC_Os01g50030"	553	615	532	869	730	762
"LOC_Os01g50050"	1518	1294	1019	2083	2311	1867
"LOC_Os01g50400"	6	16	11	347	179	310
"LOC_Os01g50410"	54	40	19	240	134	175
"LOC_Os01g50450"	390	428	384	966	1129	1026
"LOC_Os01g50460"	159	81	88	166	240	158
"LOC_Os01g50760"	966	885	649	2073	2428	1762
"LOC_Os01g50770"	1836	1845	1525	1859	2078	1751
"LOC_Os01g50934"	331	301	265	261	250	241
"LOC_Os01g51030"	30	34	21	36	25	32
"LOC_Os01g51120"	2349	2210	1816	1919	2051	1654
"LOC_Os01g51200"	2690	2914	2422	2330	2486	2290
"LOC_Os01g51220"	418	440	390	563	567	499
"LOC_Os01g51250"	1096	1154	960	687	865	694
"LOC_Os01g51290"	314	391	437	228	247	246
"LOC_Os01g51380"	680	625	550	672	725	600
"LOC_Os01g51410"	38960.33	44660	37332	53135.5	65543	60379
"LOC_Os01g51420"	220	208	143	272	253	287
"LOC_Os01g51430"	108	138	106	131	135	112
"LOC_Os01g51530"	1466	1604	1649	1448	1517	1606
"LOC_Os01g51540"	135	121	103	482	309	207
"LOC_Os01g51570"	414	274	336	105	67	87
"LOC_Os01g51670"	5	41	26	7	0	17
"LOC_Os01g51890"	1651	1533	1644	796	925	961
"LOC_Os01g51920"	4809	5354	4270	2034	1323	1434
"LOC_Os01g52110"	8034	6095.5	5607	19232	20479.5	16676
"LOC_Os01g52170"	1892	1879	1566	2346	2803	2355
"LOC_Os01g52214"	846	942	759	1192	1092	1085
"LOC_Os01g52260"	246	239	161	698	692	754
"LOC_Os01g52390"	1643	2255	1920	2884	2896	3062
"LOC_Os01g52490"	673	772	725	973	1042	1106
"LOC_Os01g52500"	10214.5	9859	9213	6011	6598.5	5198
"LOC_Os01g52630"	464	445	474	593	712	647
"LOC_Os01g52640"	1927	1809	1684	2056	2397	2035
"LOC_Os01g52920"	1455	1693	1455	1415	1545	1599
"LOC_Os01g53020"	9580	10800	7949	7755	7848	7995
"LOC_Os01g53079"	360	271	308	347	351	287
"LOC_Os01g53520"	7551	7535	6394	6857	7601.5	5938.5
"LOC_Os01g53810"	4915	4849	4123	3022	3289	2437
"LOC_Os01g54050"	455	587	415	298	383	328
"LOC_Os01g54340"	292	425	298	714	741	955
"LOC_Os01g54510"	665	593	636	518	449	440
"LOC_Os01g54540"	4645	5073	5319	5739	6520	5431
"LOC_Os01g54580"	433	372	361	512	479	385
"LOC_Os01g54600"	1415	1413	892	1262	1320	1197
"LOC_Os01g54860"	373	368	358	454	467.5	382
"LOC_Os01g54870"	929	1036	1008	1417	1696	1523
"LOC_Os01g54920"	3362	3551	3294	2731	3290.5	2666.5
"LOC_Os01g54930"	859	859	686	668	806	611
"LOC_Os01g54940"	1230	1167	1021	1244	1449	1147
"LOC_Os01g55030"	208	223	210	247	249	207
"LOC_Os01g55170"	845	884	702	1489	1533	1278
"LOC_Os01g55240"	11	13	12	15	11	26
"LOC_Os01g55510"	72	44	51	31	44	25
"LOC_Os01g55540"	1283	1224	1166	1341	1471	1250
"LOC_Os01g55570"	6052	5513	5089	4234	4624	4208
"LOC_Os01g55590"	780	727	692	786	830	716
"LOC_Os01g55670"	1531	1365	1342	3255.5	4131	3009.5
"LOC_Os01g55770"	785	1006	789	1169	1108	1141
"LOC_Os01g55780"	769	651	668	1056	1202	901
"LOC_Os01g55830"	3250	3406	3002	5625	6287	5512
"LOC_Os01g55870"	714	623	700	566	754	561
"LOC_Os01g56140"	1813	1897	1851	1229	1410	1109
"LOC_Os01g56180"	726	994	732	1913	2094	1736
"LOC_Os01g56200"	4825	4869	3987	2844	2760	2655
"LOC_Os01g56300"	1715	1647	1426	1903	1763	1800
"LOC_Os01g56390"	770	831	612	735	842	740
"LOC_Os01g56560"	147	161	115	273	261	269
"LOC_Os01g56580"	2172	2229	2007	2167	2437	1927
"LOC_Os01g56600"	1124	1059	1129	1266	1414	1170
"LOC_Os01g56790"	500	394	401	314	420	290
"LOC_Os01g56890"	1618	1867	1513	1830	2068.33	2023
"LOC_Os01g56930"	371	274	333	278	280	199
"LOC_Os01g56969"	516	634.41	581.06	658.08	688.55	629.83
"LOC_Os01g57004"	69	70	71	91	253	129
"LOC_Os01g57066"	602	607	550	545	602	454
"LOC_Os01g57073"	584	438.5	539.92	368	366.83	329.17
"LOC_Os01g57220"	1035	1010	854	1004	1058	919
"LOC_Os01g57250"	150	474	527.5	197	0	591
"LOC_Os01g57360"	847	945	859	859	1013	843
"LOC_Os01g57420"	1257	1077	1029	1899	2098	1614
"LOC_Os01g57450"	469	611	471	942	839	928
"LOC_Os01g57570"	3175	3412	3178	2817	3573	2582
"LOC_Os01g57599"	26	102	128	18	0	28
"LOC_Os01g57840"	358	506	314	407	481	659
"LOC_Os01g57968"	1455.89	972.79	1236.03	759.4	1043.83	1014.18
"LOC_Os01g58114"	1398	1324	1139	1225	1438	1208
"LOC_Os01g58220"	1285	1031.5	971	475	597	444
"LOC_Os01g58380"	712	859	674	682	847	634
"LOC_Os01g58420"	856	900	473	1297	1243	1066
"LOC_Os01g58470"	1493	1555	1447	1564	1684	1376
"LOC_Os01g58870"	1462	1612	1505	1336	1637	1434
"LOC_Os01g58890"	14482	16785	12162	15354	15483	14100
"LOC_Os01g59060"	2347	2491	2243	2457	2904	2532
"LOC_Os01g59080"	12132	15814	12550	13172	16472	14182.5
"LOC_Os01g59090"	2952	3689	3162	3908	3751	4835
"LOC_Os01g59150"	532	429	391	625	503	406
"LOC_Os01g59440"	2347	2343	2395	1629	2021	1478
"LOC_Os01g59530"	3383	4573	3454	4360	5275	4430
"LOC_Os01g59600"	1182	1295	1220	1114.5	1314	1033
"LOC_Os01g59690"	124	121	109	140	174	123
"LOC_Os01g59740"	805	1072	800	1103	987	1179
"LOC_Os01g59790"	3068	3081.5	2894	2726	3040	2566
"LOC_Os01g59850"	955	905	802	944	1145	785
"LOC_Os01g59900"	856	902	750	774	1022	762
"LOC_Os01g59970"	817	853	827	939	1293.5	1064
"LOC_Os01g59990"	1592	1974	1808	2691	2883	2772
"LOC_Os01g60020"	69	63	45	109	121	150
"LOC_Os01g60190"	7482	8226.5	7708	6993	7541	6771
"LOC_Os01g60309"	616	571	576	841	957	753
"LOC_Os01g60410"	3446.83	3587.5	3413	2574	3167.5	2488
"LOC_Os01g60440"	1465	1440.1	1208	1659	1986	1459
"LOC_Os01g60770"	138	66	147	3	1	2
"LOC_Os01g60790"	712	920	860	1187	1241	1398
"LOC_Os01g60830"	4108.1	4013	2630	4699	5954	3382
"LOC_Os01g61030"	483	513	460	439	468	354
"LOC_Os01g61044"	533	440	286	251	502	147
"LOC_Os01g61080"	348	561	439	118	138	178
"LOC_Os01g61120"	1333	1357	1356	2315	2325.5	2261
"LOC_Os01g61230"	411	542	336	908	769	820
